Name,Population,Median_Age,Household_Income,Per_Capita_Income,Poverty_Count,Poverty_Rate,Unemployment_Rate,County,State
"Fayette County, Illinois",21565.0,41.9,46650.0,23194.0,3421.0,15.863667980524,2.434500347785764,Fayette, Illinois
"Logan County, Illinois",29003.0,40.1,57308.0,27546.0,2323.0,8.009516256938937,2.5445643554115094,Logan, Illinois
"Saline County, Illinois",23994.0,42.2,44090.0,25342.0,4936.0,20.571809619071434,3.4008502125531384,Saline, Illinois
"Lake County, Illinois",701473.0,38.4,89427.0,45766.0,54273.0,7.737004845517932,2.759478982084841,Lake, Illinois
"Massac County, Illinois",14219.0,43.5,47481.0,23539.0,2331.0,16.393557915465223,1.8215064350516916,Massac, Illinois
"Cass County, Illinois",12493.0,40.0,52373.0,26992.0,1822.0,14.584167133594814,3.313855759225166,Cass, Illinois
"Huntington County, Indiana",36359.0,40.7,53632.0,26502.0,3809.0,10.476085700926868,1.4631865562859263,Huntington, Indiana
"White County, Indiana",24149.0,42.0,54576.0,27461.0,2198.0,9.101826162574019,1.925545571245186,White, Indiana
"Jay County, Indiana",20840.0,39.7,47658.0,23443.0,2887.0,13.8531669865643,1.8042226487523991,Jay, Indiana
"Shelby County, Indiana",44438.0,40.8,60404.0,29583.0,4903.0,11.03334983572618,1.8452675637967504,Shelby, Indiana
"Sullivan County, Indiana",20730.0,41.0,50245.0,24356.0,2209.0,10.656054027978772,2.122527737578389,Sullivan, Indiana
"Tippecanoe County, Indiana",191553.0,28.2,53130.0,27451.0,32662.0,17.05115555485949,2.155539198028744,Tippecanoe, Indiana
"Hamilton County, Indiana",323117.0,37.1,98173.0,49287.0,14700.0,4.549435653339193,1.5136931823457138,Hamilton, Indiana
"Bartholomew County, Indiana",82481.0,37.8,63431.0,31774.0,10859.0,13.16545628690244,2.143523963094531,Bartholomew, Indiana
"Fulton County, Indiana",20096.0,41.3,52034.0,26427.0,2442.0,12.151671974522293,2.060111464968153,Fulton, Indiana
"Noble County, Indiana",47506.0,38.7,56789.0,26832.0,3453.0,7.268555550877783,1.9850124194838548,Noble, Indiana
"Clark County, Indiana",116507.0,39.1,55630.0,29062.0,11544.0,9.90841751997734,2.5612194975409204,Clark, Indiana
"Hendricks County, Indiana",163799.0,37.7,81933.0,36569.0,8021.0,4.896855292156851,1.97742354959432,Hendricks, Indiana
"Grant County, Indiana",66452.0,40.3,44356.0,23046.0,10953.0,16.4825738879191,3.3859026063925843,Grant, Indiana
"Jackson County, Indiana",44025.0,38.5,51250.0,25840.0,6268.0,14.237365133446904,2.1328790459965927,Jackson, Indiana
"Owen County, Indiana",20835.0,45.2,49543.0,25209.0,3154.0,15.137988960883131,2.6637868970482357,Owen, Indiana
"Whitley County, Indiana",33730.0,41.8,61741.0,31843.0,3213.0,9.525644826563886,1.9092795730803438,Whitley, Indiana
"Clinton County, Indiana",32273.0,37.8,54286.0,24489.0,3916.0,12.13398196634958,1.8932234375484152,Clinton, Indiana
"Union County, Indiana",7113.0,43.5,50375.0,25661.0,513.0,7.212146773513285,0.7029382820188388,Union, Indiana
"Dearborn County, Indiana",49479.0,42.5,68658.0,30800.0,4446.0,8.985630267386162,1.932132824026355,Dearborn, Indiana
"Lawrence County, Indiana",45548.0,43.1,53610.0,26603.0,5549.0,12.182752261350664,2.1032756652322826,Lawrence, Indiana
"Perry County, Indiana",19102.0,42.0,52348.0,25707.0,2067.0,10.820856454821485,1.3768191812375667,Perry, Indiana
"Posey County, Indiana",25560.0,42.6,64196.0,32091.0,2255.0,8.822378716744915,2.08528951486698,Posey, Indiana
"Carroll County, Indiana",20074.0,42.9,54806.0,29366.0,1912.0,9.524758393942411,1.4944704593005878,Carroll, Indiana
"Fountain County, Indiana",16430.0,43.4,52874.0,28058.0,1802.0,10.967741935483868,2.0998174071819844,Fountain, Indiana
"Starke County, Indiana",22952.0,41.5,51190.0,24673.0,3385.0,14.748170094109444,2.217671662600209,Starke, Indiana
"Greene County, Indiana",32159.0,43.1,51613.0,25453.0,4527.0,14.076930252806369,2.2357660375011656,Greene, Indiana
"Benton County, Iowa",25636.0,42.6,67729.0,33301.0,2216.0,8.644094242471526,1.5954127008893744,Benton, Iowa
"Dubuque County, Iowa",96982.0,38.6,63031.0,32905.0,10646.0,10.977294755727868,2.099358643872059,Dubuque, Iowa
"Pocahontas County, Iowa",6797.0,47.6,52448.0,30013.0,713.0,10.489922024422539,1.6477857878475801,Pocahontas, Iowa
"Van Buren County, Iowa",7150.0,45.4,48591.0,27252.0,906.0,12.671328671328672,2.3496503496503496,Van, Iowa
"Adams County, Iowa",3670.0,47.3,49255.0,28440.0,508.0,13.841961852861035,1.8528610354223436,Adams, Iowa
"Audubon County, Iowa",5571.0,48.1,52055.0,30344.0,632.0,11.344462394543172,0.9334051337282356,Audubon, Iowa
"Davis County, Iowa",8920.0,36.8,63404.0,29387.0,868.0,9.730941704035876,1.4686098654708517,Davis, Iowa
"Ida County, Iowa",6901.0,43.7,58427.0,33789.0,648.0,9.38994348645124,1.3186494710911465,Ida, Iowa
