FIPS Code,State,County,"Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
1001,AL,Autauga County,"5,872","9,332","7,413","4,972",21.3,33.8,26.9,18.0,"4,291","12,551","10,596","9,929",11.5,33.6,28.4,26.6
1003,AL,Baldwin County,"17,258","28,428","28,178","22,146",18.0,29.6,29.3,23.1,"13,893","41,797","47,274","48,148",9.2,27.7,31.3,31.9
1005,AL,Barbour County,"6,679","6,124","4,025","2,068",35.3,32.4,21.3,10.9,"4,812","6,396","4,676","2,080",26.8,35.6,26.0,11.6
1007,AL,Bibb County,"4,984","4,838","2,756",962,36.8,35.7,20.4,7.1,"3,386","7,256","3,848","1,678",20.9,44.9,23.8,10.4
1009,AL,Blount County,"9,960","12,136","8,371","3,235",29.6,36.0,24.8,9.6,"7,763","13,299","13,519","5,210",19.5,33.4,34.0,13.1
1011,AL,Bullock County,"2,992","2,667","1,325",586,39.5,35.2,17.5,7.7,"1,798","2,860","1,587",856,25.3,40.3,22.3,12.1
1013,AL,Butler County,"4,439","4,749","3,146","1,433",32.2,34.5,22.9,10.4,"2,066","6,244","3,279","2,230",15.0,45.2,23.7,16.1
1015,AL,Calhoun County,"19,318","23,856","19,576","11,265",26.1,32.2,26.4,15.2,"12,315","25,940","26,233","14,620",15.6,32.8,33.2,18.5
1017,AL,Chambers County,"8,778","7,863","5,517","2,339",35.8,32.1,22.5,9.5,"4,372","8,739","7,515","3,163",18.4,36.7,31.6,13.3
1019,AL,Cherokee County,"6,138","5,865","3,186","1,636",36.5,34.9,18.9,9.7,"3,478","7,598","5,391","2,407",18.4,40.3,28.6,12.8
1021,AL,Chilton County,"8,757","9,264","5,307","2,574",33.8,35.8,20.5,9.9,"5,474","13,348","7,401","3,823",18.2,44.4,24.6,12.7
1023,AL,Choctaw County,"3,704","3,670","2,182","1,013",35.0,34.7,20.6,9.6,"1,737","3,515","2,964","1,113",18.6,37.7,31.8,11.9
1025,AL,Clarke County,"5,165","6,667","3,733","2,137",29.2,37.7,21.1,12.1,"3,259","7,005","4,456","2,050",19.4,41.8,26.6,12.2
1027,AL,Clay County,"3,322","3,690","1,992",763,34.0,37.8,20.4,7.8,"2,205","3,577","2,678",999,23.3,37.8,28.3,10.6
1029,AL,Cleburne County,"3,536","3,417","1,701",879,37.1,35.8,17.8,9.2,"2,198","3,980","2,687","1,616",21.0,38.0,25.6,15.4
1031,AL,Coffee County,"7,755","7,571","7,985","5,574",26.8,26.2,27.6,19.3,"4,967","9,615","12,667","8,044",14.1,27.2,35.9,22.8
1033,AL,Colbert County,"9,972","12,665","9,474","5,273",26.7,33.9,25.3,14.1,"5,783","14,740","11,366","7,070",14.8,37.8,29.2,18.1
1035,AL,Conecuh County,"2,984","3,518","1,877",851,32.3,38.1,20.3,9.2,"1,384","4,516","1,805","1,128",15.7,51.1,20.4,12.8
1037,AL,Coosa County,"2,831","3,164","1,597",663,34.3,38.3,19.3,8.0,"1,652","3,327","2,221","1,059",20.0,40.3,26.9,12.8
1039,AL,Covington County,"8,115","8,473","5,975","3,142",31.6,33.0,23.2,12.2,"4,366","9,819","8,119","4,020",16.6,37.3,30.8,15.3
1041,AL,Crenshaw County,"3,700","2,689","1,840","1,039",39.9,29.0,19.9,11.2,"2,016","3,830","2,157","1,687",20.8,39.5,22.3,17.4
1043,AL,Cullman County,"15,322","16,584","13,719","6,162",29.6,32.0,26.5,11.9,"10,648","19,668","19,406","8,004",18.4,34.1,33.6,13.9
1045,AL,Dale County,"6,976","9,159","10,857","4,398",22.2,29.2,34.6,14.0,"4,651","10,819","11,961","6,078",13.9,32.3,35.7,18.1
1047,AL,Dallas County,"8,524","9,646","6,568","4,004",29.7,33.6,22.9,13.9,"4,757","9,411","8,178","3,854",18.2,35.9,31.2,14.7
1049,AL,DeKalb County,"15,469","14,549","9,194","3,528",36.2,34.0,21.5,8.3,"12,072","16,431","13,241","6,246",25.2,34.2,27.6,13.0
1051,AL,Elmore County,"9,679","14,576","11,749","7,173",22.4,33.8,27.2,16.6,"7,503","18,232","16,298","14,060",13.4,32.5,29.1,25.1
1053,AL,Escambia County,"8,030","8,860","5,927","2,693",31.5,34.7,23.2,10.6,"4,878","11,308","6,449","3,224",18.9,43.7,24.9,12.5
1055,AL,Etowah County,"18,115","22,531","19,811","9,372",25.9,32.3,28.4,13.4,"11,127","23,668","24,422","12,815",15.4,32.9,33.9,17.8
1057,AL,Fayette County,"4,265","4,404","2,753","1,157",33.9,35.0,21.9,9.2,"2,037","4,831","3,387","1,451",17.4,41.3,28.9,12.4
1059,AL,Franklin County,"7,904","6,363","4,572","2,021",37.9,30.5,21.9,9.7,"4,739","7,601","5,539","2,907",22.8,36.6,26.6,14.0
1061,AL,Geneva County,"6,046","5,626","4,390","1,526",34.4,32.0,25.0,8.7,"3,672","6,714","5,943","2,331",19.7,36.0,31.8,12.5
1063,AL,Greene County,"2,182","2,165","1,205",652,35.2,34.9,19.4,10.5,"1,204","2,237","1,766",586,20.8,38.6,30.5,10.1
1065,AL,Hale County,"3,683","3,803","2,247",858,34.8,35.9,21.2,8.1,"1,587","4,303","2,620","1,411",16.0,43.4,26.4,14.2
1067,AL,Henry County,"3,654","3,192","2,576","1,545",33.3,29.1,23.5,14.1,"2,509","3,961","3,622","2,076",20.6,32.6,29.8,17.1
1069,AL,Houston County,"13,771","17,809","16,274","10,817",23.5,30.4,27.7,18.4,"10,076","22,558","23,893","15,672",14.0,31.2,33.1,21.7
1071,AL,Jackson County,"12,006","12,707","7,924","3,798",33.0,34.9,21.7,10.4,"6,218","15,177","10,429","5,175",16.8,41.0,28.2,14.0
1073,AL,Jefferson County,"82,950","121,233","123,142","106,833",19.1,27.9,28.4,24.6,"44,684","118,636","136,299","150,124",9.9,26.4,30.3,33.4
1075,AL,Lamar County,"3,759","4,036","2,125",838,34.9,37.5,19.8,7.8,"1,737","3,912","3,014","1,174",17.7,39.8,30.6,11.9
1077,AL,Lauderdale County,"13,915","20,105","13,993","10,881",23.6,34.1,23.8,18.5,"8,026","22,873","17,759","14,948",12.6,36.0,27.9,23.5
